Product Name,Original Price,Rating
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 256 GB)","₹23,988",4.4
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)","₹49,999",4.6
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)","₹12,999",4.5
"Ai+ Pulse (Black, 64 GB)","₹5,999",4.3
"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)","₹20,999",4.4
"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","₹10,590",4.2
"realme 15x 5G (Maroon Red, 128 GB)","₹17,499",4.4
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹11,999",4.2
"MOTOROLA Edge 60 Stylus (PANTONE Surf the Web, 256 GB)","₹20,999",4.3
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)","₹22,999",4.4
"Samsung M06 5G (Blazing Black, 128 GB)","₹10,887",3.9
"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","₹11,680",4.2
"MOTOROLA Edge 60 Pro (Pantone Dazzling Blue, 256 GB)","₹31,999",4.3
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹17,998",4.4
"POCO C71 (Desert Gold, 64 GB)","₹6,199",3.8
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹17,998",4.4
"Samsung Galaxy A55 5G (Awesome Navy, 128 GB)","₹24,980",4.4
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)","₹49,999",4.6
"MOTOROLA Edge 60 Pro (Pantone Dazzling Blue, 256 GB)","₹31,999",4.3
"REDMI A4 5G only on Jio SIM (Sparkle Purple, 64 GB)","₹8,080",4.3
"POCO X7 Pro 5G (Nebula Green, 256 GB)","₹21,999",4.3
"MOTOROLA G86 Power 5G (Pantone Golden Cypress, 128 GB)","₹17,999",4.3
"Nothing Phone (3a) Pro (Grey, 256 GB)","₹30,999",4.5
"Nothing Phone (3a) Pro (Grey, 128 GB)","₹28,999",4.5
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","₹9,749",4.4
"OnePlus Nord CE4 lite 5G (MEGA BLUE, 128 GB)","₹17,993",4.4
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹39,999",4.5
"REDMI Note 14 5G (Phantom Purple, 256 GB)","₹16,990",4.2
"realme P4 5G (Engine Blue, 128 GB)","₹17,999",4.4
"realme P4 5G (Steel Grey, 128 GB)","₹17,999",4.4
"Samsung Galaxy A55 5G (Awesome Iceblue, 128 GB)","₹24,970",4.4
"realme P4 5G (Forge Red, 128 GB)","₹17,999",4.4
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹12,999",4.3
"Ai+ Pulse (Black, 64 GB)","₹5,999",4.3
"OnePlus Nord CE5 5G (Marble Mist, 128 GB)","₹24,961",4.5
"Samsung Galaxy S24 FE 5G (Mint, 128 GB)","₹39,999",4.5
"REDMI A4 (Sparkle Purple, 128 GB)","₹9,588",4.2
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹10,899",4.2
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹31,999",4.3
"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)","₹17,999",4.4
"Samsung Galaxy S24 FE 5G (Graphite, 256 GB)","₹45,999",4.5
"Nothing Phone (3a) Pro (Black, 128 GB)","₹28,999",4.5
"POCO F7 5G (Phantom Black, 512 GB)","₹32,999",4.4
"realme 15x 5G (Marine Blue, 256 GB)","₹20,499",4.3
"realme 15x 5G (Marine Blue, 128 GB)","₹18,999",4.3
"REDMI A3X (Olive Green, 64 GB)","₹6,960",4.1
"OnePlus Nord CE5 5G (Marble Mist, 256 GB)","₹26,995",4.5
"Apple iPhone 14 (Blue, 128 GB)","₹54,900",4.6
"Samsung Galaxy A55 5G (Awesome Iceblue, 128 GB)","₹24,970",4.4
"OnePlus 13R 5g (Astral Trail, 256 GB)","₹38,586",4.5
"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)","₹19,999",4.4
"realme C71 (Obsidian Black, 64 GB)","₹7,669",4.3
"realme C71 (Sea Blue, 64 GB)","₹7,617",4.3
"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)","₹17,999",4.3
"Apple iPhone 16 Plus (Black, 256 GB)","₹81,999",4.6
"Google Pixel 8a (Bay, 128 GB)","₹34,999",4.3
"POCO C75 5G (Enchanted Green, 128 GB)","₹8,199",4.2
"Ai+ Nova 5G (Black, 128 GB)","₹8,499",4.1
"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)","₹7,250",4.3
"POCO X7 Pro 5G (Yellow, 256 GB)","₹21,999",4.3
"Samsung Galaxy A55 5G (Awesome Navy, 128 GB)","₹24,980",4.4
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","₹10,590",4.2
